number_affected,number,reviewed,company,production_system,short_description,start_date,end_date,class,location,time zone,justification,assignment_group,sys_tag
2,CHG000001,Pending,CompanyB,TRUE,Change short desc Ecolab Crystal Fusion,3/20/2021 9:33,3/9/2021 2:03,Network,America/New_York,America/New York,Change Justification: White Man's Burden,@Database,
14,CHG000002,Pending,CompanyB,TRUE,Change short desc Beets - Golden,3/28/2021 0:01,3/28/2021 1:58,Network,America/New_York,America/New York,Change Justification: Flakes,@Database,
5,CHG000003,Reviewed,CompanyB,FALSE,Change short desc Foam Tray S2,3/18/2021 19:15,4/17/2021 13:13,Network,America/New_York,America/New York,"Change Justification: Bingo Long Traveling All-Stars & Motor Kings, The",@Database,
10,CHG000004,Pending,CompanyA,TRUE,Change short desc Soup - Campbells Broccoli,3/23/2021 2:09,3/13/2021 13:27,Server,America/New_York,America/New York,Change Justification: Thrill Ride: The Science of Fun,@Network,
35,CHG000005,Reviewed,CompanyB,FALSE,"Change short desc Bread - Crumbs, Bulk",4/13/2021 0:21,4/25/2021 2:18,Network,America/New_York,America/New York,Change Justification: Viva Knievel!,@Database,
14,CHG000006,Pending,CompanyB,TRUE,Change short desc Soup - Campbells Broccoli,3/7/2021 20:41,5/6/2021 3:40,Network,America/New_York,America/New York,Change Justification: Falling Down,@Database,
23,CHG000007,Reviewed,CompanyB,FALSE,Change short desc Sauce - Caesar Dressing,5/17/2021 14:15,3/3/2021 20:13,Network,America/New_York,America/New York,"Change Justification: Green Ray, The (Rayon vert, Le)",@Database,
9,CHG000008,Reviewed,Corporate,FALSE,Change short desc Longos - Chicken Caeser Salad,3/24/2021 20:44,4/24/2021 17:30,Appliation,America/New_York,America/New York,"Change Justification: 24th Day, The",@Server,MAJOR
32,CHG000009,Pending,CompanyB,TRUE,Change short desc Pastrami,4/1/2021 7:52,5/7/2021 13:05,Network,America/New_York,America/New York,Change Justification: Powder,@Database,
29,CHG0000010,Reviewed,CompanyB,FALSE,"Change short desc Pasta - Penne Primavera, Single",5/30/2021 13:17,5/21/2021 23:02,Network,America/New_York,America/New York,Change Justification: How to Train Your Dragon 2,@Database,
32,CHG0000011,Pending,CompanyB,TRUE,Change short desc Tomatoes Tear Drop Yellow,4/25/2021 16:43,3/11/2021 2:08,Network,America/New_York,America/New York,Change Justification: Blades of Glory,@Database,
15,CHG0000012,Reviewed,Corporate,FALSE,Change short desc Melon - Cantaloupe,5/16/2021 21:21,5/16/2021 1:43,Appliation,America/New_York,America/New York,Change Justification: White Oleander,@Server,MAJOR
16,CHG0000013,Pending,CompanyA,TRUE,Change short desc Cups 10oz Trans,3/27/2021 12:15,5/1/2021 14:03,Server,America/New_York,America/New York,Change Justification: Titanic Town,@Network,
42,CHG0000014,Pending,Corporate,TRUE,Change short desc Lid Coffeecup 12oz D9542b,4/10/2021 5:10,3/11/2021 20:31,Appliation,America/New_York,America/New York,Change Justification: Dirty Story,@Server,MAJOR
22,CHG0000015,Pending,CompanyA,TRUE,Change short desc Wine - Shiraz Wolf Blass Premium,3/24/2021 15:52,4/13/2021 0:35,Server,America/New_York,America/New York,Change Justification: Boca,@Network,
20,CHG0000016,Pending,CompanyB,TRUE,Change short desc Fuji Apples,4/22/2021 10:46,4/24/2021 13:17,Network,America/New_York,America/New York,Change Justification: Bright Leaves,@Database,
14,CHG0000017,Pending,CompanyB,TRUE,Change short desc Sultanas,4/13/2021 0:05,5/12/2021 13:18,Network,America/New_York,America/New York,Change Justification: Single White Female,@Database,
44,CHG0000018,Pending,CompanyB,TRUE,"Change short desc Soup - Knorr, French Onion",5/29/2021 16:00,3/14/2021 17:05,Network,America/New_York,America/New York,Change Justification: Confessions of a Shopaholic,@Database,
12,CHG0000019,Pending,Corporate,TRUE,Change short desc Mix - Cocktail Strawberry Daiquiri,4/5/2021 10:56,3/15/2021 3:52,Appliation,America/New_York,America/New York,Change Justification: Gentlemen Broncos,@Server,MAJOR
17,CHG0000020,Reviewed,CompanyB,FALSE,Change short desc Veal - Sweetbread,4/1/2021 23:09,4/6/2021 1:16,Network,America/New_York,America/New York,"Change Justification: Rage, The",@Database,
18,CHG0000021,Pending,Corporate,TRUE,Change short desc Pork - Belly Fresh,3/8/2021 22:21,4/8/2021 5:41,Appliation,America/New_York,America/New York,Change Justification: American Ninja 2: The Confrontation,@Server,MAJOR
31,CHG0000022,Reviewed,CompanyA,FALSE,Change short desc Wine - Cava Aria Estate Brut,3/1/2021 2:46,3/8/2021 7:51,Server,America/New_York,America/New York,"Change Justification: Guilt Trip, The",@Network,
49,CHG0000023,Reviewed,CompanyA,FALSE,Change short desc Pie Pecan,4/22/2021 17:16,3/22/2021 9:01,Server,America/New_York,America/New York,Change Justification: Underground: The Julian Assange Story,@Network,
32,CHG0000024,Pending,CompanyB,TRUE,Change short desc Wine - Duboeuf Beaujolais,5/9/2021 20:52,4/19/2021 11:25,Network,America/New_York,America/New York,Change Justification: Gattaca,@Database,
38,CHG0000025,Pending,CompanyB,TRUE,Change short desc Pastry - Butterscotch Baked,3/15/2021 6:27,5/30/2021 4:03,Network,America/New_York,America/New York,"Change Justification: Great Muppet Caper, The",@Database,
21,CHG0000026,Reviewed,Corporate,FALSE,"Change short desc Pork - Chop, Frenched",5/2/2021 22:09,5/22/2021 21:39,Appliation,America/New_York,America/New York,Change Justification: Skeleton Man,@Server,MAJOR
