number_affected,number,reviewed,company,production_system,short_description,start_date,end_date,class,location,time zone,justification,assignment_group,sys_tag
50,CHG000001,Pending,CompanyB,TRUE,"Change short desc Coke - Diet, 355 Ml",3/13/2021 8:33,3/10/2021 9:30,Network,America/New_York,America/New York,Change Justification: Sparks,@Database,
7,CHG000002,Reviewed,CompanyA,FALSE,Change short desc Pasta - Agnolotti - Butternut,3/13/2021 7:24,3/11/2021 18:36,Server,America/New_York,America/New York,Change Justification: The Haunting of Helena,@Network,
15,CHG000003,Reviewed,Corporate,FALSE,Change short desc Oxtail - Cut,3/19/2021 20:11,3/14/2021 16:22,Appliation,America/New_York,America/New York,Change Justification: Beck - Öga för öga,@Server,MAJOR
2,CHG000004,Pending,CompanyB,TRUE,"Change short desc Arctic Char - Fresh, Whole",3/17/2021 14:20,3/12/2021 15:18,Network,America/New_York,America/New York,Change Justification: Home Sweet Home,@Database,
2,CHG000005,Pending,CompanyB,TRUE,Change short desc Energy Drink Red Bull,3/11/2021 20:29,3/18/2021 17:57,Network,America/New_York,America/New York,Change Justification: Trio,@Database,
22,CHG000006,Pending,CompanyA,TRUE,Change short desc Beans - Yellow,3/11/2021 13:13,3/18/2021 2:45,Server,America/New_York,America/New York,Change Justification: It Started in Naples,@Network,
4,CHG000007,Pending,CompanyA,TRUE,Change short desc Cup - 8oz Coffee Perforated,3/17/2021 4:53,3/13/2021 18:34,Server,America/New_York,America/New York,Change Justification: Starship Troopers: Invasion,@Network,
27,CHG000008,Reviewed,Corporate,FALSE,"Change short desc Split Peas - Yellow, Dry",3/9/2021 18:50,3/16/2021 13:19,Appliation,America/New_York,America/New York,Change Justification: The Hanoi Hilton,@Server,MAJOR
32,CHG000009,Pending,CompanyB,TRUE,Change short desc Macaroons - Homestyle Two Bit,3/14/2021 19:27,3/9/2021 18:10,Network,America/New_York,America/New York,Change Justification: Belle of the Nineties,@Database,
33,CHG0000010,Reviewed,Corporate,FALSE,Change short desc Uniform Linen Charge,3/19/2021 12:11,3/18/2021 3:11,Appliation,America/New_York,America/New York,Change Justification: Hovering Over the Water (À Flor do Mar),@Server,MAJOR
37,CHG0000011,Reviewed,CompanyA,FALSE,Change short desc Salt - Celery,3/16/2021 10:14,3/17/2021 7:18,Server,America/New_York,America/New York,"Change Justification: See Here, Private Hargrove",@Network,
46,CHG0000012,Pending,CompanyA,TRUE,Change short desc Carroway Seed,3/10/2021 22:08,3/12/2021 2:33,Server,America/New_York,America/New York,Change Justification: Main Street,@Network,
7,CHG0000013,Reviewed,CompanyA,FALSE,Change short desc Creme De Menth - White,3/18/2021 14:32,3/19/2021 21:07,Server,America/New_York,America/New York,"Change Justification: Gunfighter, The",@Network,
7,CHG0000014,Reviewed,CompanyA,FALSE,Change short desc Mangostein,3/15/2021 5:11,3/12/2021 3:16,Server,America/New_York,America/New York,Change Justification: Mutants,@Network,
40,CHG0000015,Pending,CompanyA,TRUE,Change short desc Tea - Mint,3/11/2021 12:50,3/13/2021 6:10,Server,America/New_York,America/New York,Change Justification: X-Men: Days of Future Past,@Network,
16,CHG0000016,Pending,CompanyA,TRUE,Change short desc Syrup - Kahlua Chocolate,3/15/2021 19:25,3/17/2021 7:03,Server,America/New_York,America/New York,"Change Justification: Magic Christmas Tree, The",@Network,
30,CHG0000017,Pending,Corporate,TRUE,Change short desc Passion Fruit,3/16/2021 20:27,3/16/2021 23:21,Appliation,America/New_York,America/New York,Change Justification: Je suis né d'une cigogne,@Server,MAJOR
10,CHG0000018,Pending,CompanyA,TRUE,"Change short desc Doilies - 12, Paper",3/9/2021 5:45,3/18/2021 16:25,Server,America/New_York,America/New York,"Change Justification: American in Paris, An",@Network,
